City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
177,Cockburn Town,TC,21.4612,-71.1419,77.95,72,0,9.44,clear sky
178,Padang,ID,-0.9492,100.3543,76.91,90,77,3.09,broken clouds
179,Khipro,PK,25.8285,69.3772,61.83,26,0,3.51,clear sky
180,Qasigiannguit,GL,68.8193,-51.1922,14.25,82,83,10.69,broken clouds
181,Sydney,AU,-33.8679,151.2073,74.5,86,40,3.0,scattered clouds
182,Mehamn,NO,71.0357,27.8492,21.15,79,75,12.66,broken clouds
183,Chokwe,MZ,-24.5333,32.9833,74.44,91,99,6.55,light rain
184,Cape Town,ZA,-33.9258,18.4232,69.12,74,0,8.01,clear sky
185,Mlimba,TZ,-8.8,35.8167,70.36,96,99,0.36,overcast clouds
186,Champerico,GT,14.3,-91.9167,90.14,63,4,10.33,clear sky
187,La Tuque,CA,47.4334,-72.7824,5.25,47,100,10.36,overcast clouds
188,Victoria,HK,22.2855,114.1577,62.26,81,100,1.01,overcast clouds
189,Makakilo City,US,21.3469,-158.0858,78.19,64,0,3.44,clear sky
190,Hambantota,LK,6.1241,81.1185,77.99,82,73,6.51,broken clouds
191,San Carlos,VE,9.6612,-68.5827,95.47,28,41,9.71,scattered clouds
192,Auning,DK,56.4308,10.3782,44.78,82,59,44.0,broken clouds
193,Ucluelet,CA,48.9329,-125.5528,43.09,89,100,1.01,light rain
194,Riviere-Au-Renard,CA,48.9957,-64.3971,10.4,92,100,20.42,light snow
195,Manokwari,ID,-0.8667,134.0833,77.52,77,98,6.87,overcast clouds
196,Koraput,IN,18.8167,82.7167,54.75,33,0,2.82,clear sky
197,Longyearbyen,SJ,78.2186,15.6401,8.44,66,0,17.27,clear sky
198,Hovd,MN,48.0056,91.6419,-13.02,72,13,3.09,few clouds
199,Abasolo,MX,20.45,-101.5167,65.14,30,0,3.53,clear sky
200,Half Moon Bay,US,37.4636,-122.4286,63.01,62,0,1.99,haze
201,Paita,PE,-5.0892,-81.1144,84.76,69,74,16.62,broken clouds
202,Te Anau,NZ,-45.4167,167.7167,57.4,89,100,1.74,moderate rain
203,Marystown,CA,47.1666,-55.1483,35.85,100,100,13.0,overcast clouds
204,Boende,CD,-0.2167,20.8667,76.3,44,11,2.33,few clouds
205,Saint Anthony,US,45.0205,-93.218,27.97,60,0,4.0,clear sky
206,Kununurra,AU,-15.7667,128.7333,78.78,94,40,10.36,scattered clouds
207,Santa Lucia,ES,27.9117,-15.5407,58.77,55,100,14.97,haze
208,Leningradskiy,RU,69.3833,178.4167,-9.15,89,41,5.06,scattered clouds
209,Cabo San Lucas,MX,22.8909,-109.9124,79.9,59,0,5.01,clear sky
210,Karpogory,RU,64.0019,44.4451,9.3,96,66,5.44,broken clouds
211,Muros,ES,42.7762,-9.0603,55.9,77,14,4.43,few clouds
212,Smolenka,RU,52.1352,113.4974,-23.06,69,58,0.0,mist
213,Tuatapere,NZ,-46.1333,167.6833,61.83,93,100,4.59,light rain
214,Lerwick,GB,60.1545,-1.1494,41.0,75,75,41.07,broken clouds
215,Tiksi,RU,71.6872,128.8694,-8.52,99,53,4.25,broken clouds
216,Hasaki,JP,35.7333,140.8333,30.6,70,53,15.93,broken clouds
217,Salinopolis,BR,-0.6136,-47.3561,75.45,91,100,5.97,light rain
218,Taylorville,US,39.5489,-89.2945,33.85,37,0,13.8,clear sky
219,Saint George,US,37.1041,-113.5841,56.35,22,0,1.99,clear sky
220,Chuy,UY,-33.6971,-53.4616,75.65,57,19,11.23,few clouds
221,Esperance,AU,-33.8667,121.9,64.24,78,0,14.38,clear sky
222,New Norfolk,AU,-42.7826,147.0587,58.71,67,23,1.32,few clouds
223,Bastrop,US,32.7562,-91.8724,49.42,33,0,3.0,clear sky
224,Fairbanks,US,64.8378,-147.7164,-14.98,73,0,0.0,clear sky
225,Mocuba,MZ,-16.8392,36.9856,72.19,98,4,3.53,clear sky
226,Babu,CN,24.4167,111.5167,37.6,89,75,6.73,light rain
227,College,US,64.8569,-147.8028,-13.34,73,40,3.44,scattered clouds
228,Kota Kinabalu,MY,5.9749,116.0724,76.98,88,20,3.44,few clouds
229,Qaanaaq,GL,77.484,-69.3632,-2.47,64,100,9.69,overcast clouds
230,Prince Rupert,CA,54.3161,-130.3201,42.89,87,100,13.8,light rain
231,Cody,US,44.5263,-109.0565,49.64,37,0,4.61,clear sky
232,Sabancuy,MX,18.9667,-91.1833,72.52,62,100,16.8,overcast clouds
233,Laguna,US,38.421,-121.4238,65.35,63,0,1.01,clear sky
234,Hualmay,PE,-11.0964,-77.6139,74.75,72,71,11.54,broken clouds
235,Key West,US,24.5557,-81.7826,66.2,54,100,20.71,overcast clouds
236,Punta Cardon,VE,11.6581,-70.215,81.72,67,44,6.64,scattered clouds
237,Inverness,GB,57.4791,-4.224,43.21,85,16,3.0,few clouds
238,Port Alfred,ZA,-33.5906,26.891,70.25,80,46,12.55,scattered clouds
239,Chulym,RU,55.0997,80.9572,-7.73,98,44,5.01,scattered clouds
240,Envira,BR,-7.3,-70.2167,85.91,66,98,1.79,overcast clouds
241,Sabang,ID,5.8933,95.3214,82.11,71,21,9.93,few clouds
242,Weligama,LK,5.9667,80.4167,77.25,88,99,6.24,overcast clouds
243,Provideniya,RU,64.3833,-173.3,2.59,86,4,5.21,clear sky
244,Keflavik,IS,64.0049,-22.5624,36.03,75,75,19.57,broken clouds
245,Belyy Yar,RU,53.6039,91.3903,-14.91,76,40,0.0,smoke
246,Kodiak,US,57.79,-152.4072,31.51,64,75,19.57,broken clouds
247,Tomatlan,MX,19.9333,-105.25,87.51,39,1,9.89,clear sky
248,Kahului,US,20.8947,-156.47,78.06,62,20,0.0,few clouds
249,Shevchenkove,UA,49.6959,37.1735,31.78,95,98,12.64,light snow
250,Klaksvik,FO,62.2266,-6.589,34.72,64,82,32.03,broken clouds
251,Shingu,JP,33.7333,135.9833,38.01,74,94,6.69,overcast clouds
252,San Patricio,US,28.017,-97.5169,66.16,26,52,4.54,broken clouds
253,Adrar,MR,20.5022,-10.0711,79.77,11,100,10.56,overcast clouds
254,Kutulik,RU,53.3508,102.7839,-20.74,100,67,0.83,broken clouds
255,Skibbereen,IE,51.55,-9.2667,46.2,83,63,5.82,broken clouds
256,Vila Franca Do Campo,PT,37.7167,-25.4333,61.2,75,52,8.68,broken clouds
257,Port Macquarie,AU,-31.4333,152.9167,66.88,100,98,0.0,overcast clouds
258,Santa Rosa,PH,14.3122,121.1114,80.11,88,3,2.24,clear sky
