City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
404,Cayenne,GF,82.44,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
409,Reo,BF,79.9,clear sky,12.3167,-2.4667,Hôtel Deogratias
412,Daru,PG,78.33,moderate rain,-9.0763,143.2092,Daru Lodge
414,Tambun,ID,80.49,overcast clouds,-6.2641,107.0712,Metland Hotel Bekasi
423,Anloga,GH,84.42,broken clouds,5.7947,0.8973,Pin Drop Hotel
425,Cap Malheureux,MU,81.09,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
428,Sinnamary,GF,80.17,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
429,Palora,EC,82.38,overcast clouds,-1.7,-77.9333,Rancho grande
437,Inhambane,MZ,76.98,few clouds,-23.865,35.3833,Oceano
450,Barra Do Garcas,BR,84.78,broken clouds,-15.89,-52.2567,Hotel Pousada Tropical
465,Buala,SB,80.35,light rain,-8.145,159.5921,Maringe Lagoon Lodge
470,Vaitape,PF,79.72,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
481,Vila Velha,BR,85.95,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
489,Porteirinha,BR,81.61,overcast clouds,-15.7433,-43.0283,Portal Palace Hotel
493,Sorong,ID,80.42,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
496,Bolobo,CD,78.31,overcast clouds,-2.1667,16.2333,Hotel de Stephen
506,Kourou,GF,82.45,broken clouds,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
513,Puerto Cabezas,NI,84.16,scattered clouds,14.0351,-83.3888,Cabaña Caribe
516,Pisco,PE,75.25,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
522,Kikwit,CD,75.29,overcast clouds,-5.041,18.8162,HOTEL PLACE YALABA
528,Sambava,MG,77.18,few clouds,-14.2667,50.1667,Melrose
532,Kalmunai,LK,77.09,few clouds,7.4167,81.8167,VS Villa
539,Karaton,ID,78.96,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
547,Lufilufi,WS,78.58,clear sky,-13.8745,-171.5986,Leuaina Beach Resort and Spa
548,Quelimane,MZ,82.35,few clouds,-17.8786,36.8883,Hotel Flamingo
549,Rodrigues Alves,BR,89.8,overcast clouds,-7.738,-72.6509,Pousada Aconchego
551,Belmonte,BR,86.5,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
552,Quatre Cocos,MU,80.71,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
556,Barahona,DO,85.82,scattered clouds,18.2085,-71.1008,Hotel Caribe
564,Ixtapa,MX,87.01,clear sky,20.7,-105.2,Hotel Plaza Providencia
566,Dabakala,CI,83.25,broken clouds,8.3667,-4.4333,Hôtel Campement
568,Puerto Colombia,CO,86.09,clear sky,10.9878,-74.9547,Hotel El Emigrante
569,Hinundayan,PH,78.39,broken clouds,10.3523,125.2506,Tolero's lodge
575,Beira,MZ,80.69,few clouds,-19.8436,34.8389,Beira Terrace Hotel
577,Atar,MR,77.54,overcast clouds,20.5169,-13.0499,Oumou Elghoura
582,Springbok,ZA,79.77,few clouds,-29.6643,17.8865,Undulata Country Lodge
589,Owando,CG,77.86,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
597,Maraba,BR,86.18,broken clouds,-5.3686,-49.1178,Hotel Del Principe
603,Luganville,VU,78.73,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
605,Bonthe,SL,79.52,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
613,Buin,CL,83.05,clear sky,-33.7333,-70.75,Paihuen
614,Impfondo,CG,77.45,scattered clouds,1.6381,18.0667,Auberge La Place de Jules
616,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
621,Phetchabun,TH,77.05,broken clouds,16.25,101.0833,วินธนา รีสอร์ท
630,Dicabisagan,PH,76.14,clear sky,17.0818,122.4157,Nancy Montanes Bernardo
631,Sibu,MY,77.31,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
637,Nhulunbuy,AU,81.21,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
638,Ghanzi,BW,75.18,broken clouds,-21.5667,21.7833,Ghanzi Farmhouse
641,Coahuayana,MX,85.48,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
642,Benguela,AO,77.81,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
647,Tecoanapa,MX,85.53,few clouds,16.5167,-98.75,Hotel Manglares
653,Pitimbu,BR,82.99,light rain,-7.4706,-34.8086,Reserva do Abiaí
656,Mersing,MY,75.11,scattered clouds,2.4312,103.8405,Timotel Hotel
657,Tautira,PF,80.62,overcast clouds,-17.7333,-149.15,Pension Oaoa
660,Takoradi,GH,80.42,few clouds,4.8845,-1.7554,Raybow International Hotel
662,Martapura,ID,77.09,overcast clouds,-3.4167,114.85,Montana Hotel Syariah
667,De Aar,ZA,79.61,clear sky,-30.6497,24.0123,Nyibiba Guesthouse
668,Sattur,IN,79.68,overcast clouds,9.3667,77.9333,Jaypriya Residency
679,Natalio,PY,87.37,clear sky,-26.7167,-55.0833,Casa familia Sánchez
680,Apac,UG,77.65,broken clouds,1.9756,32.5386,Double Duez Apac
685,Rawson,AR,83.35,scattered clouds,-43.3002,-65.1023,Hosteria Sampedro
687,Corumba,BR,75.11,mist,-19.0092,-57.6533,Hotel Laura Vicunha
699,Tarakan,ID,76.5,few clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
705,Muisne,EC,82.51,light rain,0.6,-80.0333,Quinta Samay
707,Kudahuvadhoo,MV,81.43,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
